Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
https://www.abayabuth.com/,10,38336,30556,95623,19108.90,10.00%,.1,487.41,4819006.3
Home page ,10,1316,1041,3046,579.82,0.00%,.1,0.20,1379.0
what's New ,10,29413,14243,32442,5148.98,0.00%,.1,471.91,3821849.8
whatsnew business ,10,1462,1162,2056,342.59,0.00%,.2,1.84,9413.4
https://events.privy.com/v2/collect,10,1184,1124,1357,66.63,0.00%,.2,0.12,632.0
Preview ,20,1068,863,2212,358.48,0.00%,.1,0.04,476.0
whats-new1/black-velvet-cape-with-silver-mist-floral-lace,10,18844,16378,21313,1314.28,0.00%,.2,340.64,2294599.8
Businesses,10,935,780,1539,211.20,0.00%,.2,1.91,9414.8
Add to cart ,10,959,922,1021,27.64,0.00%,.2,0.09,440.0
https://www.abayabuth.com/frontend/cart_details/side_update1,10,1253,1098,1445,108.00,0.00%,.2,2.58,12744.1
proceed-checkout,10,14319,12363,15075,835.58,0.00%,.2,249.13,1514868.0
Businesses ,30,883,438,1593,376.38,0.00%,.2,2.22,9414.8
Account Preview ,10,951,878,1149,75.96,0.00%,.2,0.10,476.0
account ,10,24149,15652,27414,3908.62,0.00%,.2,245.40,1554373.9
After login proceed-checkout,10,18217,14066,20354,2097.26,0.00%,.2,245.28,1540336.0
Busniess ,10,932,771,1578,245.26,0.00%,.2,1.91,9414.1
Check out preview ,10,935,855,999,47.33,0.00%,.2,0.10,476.0
ship-methods,10,11706,4131,15496,4356.60,0.00%,.2,0.28,1454.0
get_country_name,10,1111,930,1542,217.30,0.00%,.2,0.09,449.0
order_summary page,10,1101,963,1565,168.21,0.00%,.2,0.09,434.0
Oder summary Preview ,10,1137,898,2006,359.89,0.00%,.2,0.10,476.0
lookbook page,10,18553,12993,21606,3094.37,30.00%,.1,646.75,4609997.3
https://api.privy.com/businesses/20D19A356D7392BB015FADF6/campaigns.json?l=https%3A%2F%2Fwww.abayabuth.com%2Flookbook&s=j&fence=1&user_uuid=b1df1b02-089a-4375-a283-52a628af2147,10,1022,742,1598,342.88,0.00%,.2,1.59,9415.5
Test,10,192630,163613,220988,15064.29,40.00%,.0,689.45,20240845.4
TOTAL,270,14268,438,220988,36813.93,2.96%,.9,1378.90,1499321.9
